     time_period  economy_id theta_n theta
   2           2          39   39.533383703787045     
   2           2          40   19.882099768050761     
   2           2          41  -56.598809049677399     
   2           2          42  -44.314105703509171     
   2           2          43   1442.9125589040000     
   2           2          44   651.16385563720667     
   2           2          45  -17.414939225311851     
   2           2          46  -7.0056990582211176     
   2           2          47  -546.71311520584152     
   2           2          48   783.36386722242969     
   2           2          49   19.875145670052586     
   2           2          50   47.790697886316408     
   2           2          51   8.1252785063943573     
   2           2          52   31.916345252958649     
   2           2          53   35.312495110267690     
   2           2          54   9.0873756652316331     
   2           2          55   70.857458760292104     
   2           2          56   41.910095140579458     
   2           2          57  0.33174646192615687     
   2           2          58   63.852053558673191     
   2           2          59   25.829667712285325     
   2           2          60   5.3745260687926919     
   2           2          61   238.92266804452564     
   2           2          62   128.82991719116333     
   3           1           1   3.5043762503914127     
   3           1           2  -2.2049807144761813     
   3           1           3 -0.26508079166126419     
   3           1           4  0.57573260918096425     
   3           1           5  -6.9085874558293528E-002
   3           1           6 -0.33131363196436220     
   3           1           7  0.53410592534340706     
   3           1           8 -0.11000213310844117     
   3           1           9   2.1891036756098790     
   3           1          10   5.8912091925965013     
   3           1          11  0.87060434631706674     
   3           1          12   7.4756816943555373     
   3           1          13 -0.65954032470011414     
   3           1          14  -5.6054323159903925     
   3           1          15  -5.6080631480926177     
   3           1          16  -5.9885676206151537     
   3           1          17  -6.9631539465136019     
   3           1          18  0.90974216010553910     
   3           1          19   31.401565528459791     
   3           1          20   11.690111500370323     
   3           1          21  0.25681818191978067     
   3           1          22  -9.7272727232087838E-002
   3           1          23   34.544393422505770     
   3           1          24   27.002468485811143     
   3           1          25   38.942664172614009     
   3           1          26   42.974499582364921     
   3           1          27   48.870830321329585     
   3           1          28   54.982655464594046     
   3           1          29   5.7433839524436978     
   3           1          30   10.220632584628349     
   3           1          31   15.799394303942782     
   3           1          32   29.186505729374872     
   3           1          33   23.313071766117993     
   3           1          34   10.630490683413951     
   3           1          35   12.609446816087887     
   3           1          36   16.978681878425089     
   3           1          37   24.363810175344025     
   3           1          38   30.016011596477313     
   3           1          39   37.653638696286322     
